frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
99.9,W260DB,NASHUA,NH,DRL,0.25,42.75952777777778,71.47644444444444,D,THE GAME,,"ABSOLUTE BROADCASTING, LLC",Sports,
101.5,W268DO,CHESTER,NH,DRL,0.25,42.96327777777778,71.28925,D,K-LOVE,,Educational Media Foundation,Contemporary Christian,
103.9,W280EC,CONCORD,NH,DRL,0.038,43.19472222222222,71.55499999999999,D,"WKXL 1450 AM, 103.9 AND 101.9 FM",162.8,"NEW HAMPSHIRE FAMILY RADIO, LLC",News/Talk,
94.9,WDMN-LP,Manchester,NH,NDIR,0.1,42.98888888888889,71.45222222222222,LP100,,-18.0,PORTUGUESE RADIO FOUNDATION CORPORATION,,
102.3,WGGG-LP,Ossipee,NH,NDIR,0.1,43.78666666666666,71.16083333333334,LP100,OSSIPEE 102.3,-82.0,"Ossipee Public Media, Inc.",Variety,
102.9,WMZK-LP,MERRIMACK,NH,NDIR,0.1,42.86666666666667,71.49472222222222,LP100,,0.0,"TOWN OF MERRIMACK, NEW HAMPSHIRE",Variety,
91.5,WWNH,Meredith,NH,NDIR,0.022,43.68558333333333,71.48594444444444,A,,140.0,"Calvary Wolfeboro, Inc.",,
90.3,W212AF,NASHUA,NH,NDIR,0.25,42.74922222222222,71.4803888888889,D,CLASSICAL NEW HAMPSHIRE,29.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",Classical,Boston
91.3,W217BH,LITTLETON,NH,DRL,0.01,44.352833333333336,71.73675,D,NEW HAMPSHIRE PUBLIC RADIO,259.1,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,Lebanon-Hanover-White River Junction
92.1,W221EM,DERRY,NH,DRL,0.25,42.86638888888889,71.28769444444444,D,LIFE CHANGING RADIO 1320 AM - 92.1 FM,,"BLOUNT COMMUNICATIONS, INC. OF NH",Religious Teaching,Boston
92.5,W223DC,BERLIN,NH,NDIR,0.25,44.48227777777778,71.17644444444444,D,THE OUTLAW,,"WHITE MOUNTAINS BROADCASTING, LLC",Classic Rock,
92.9,W225CB,TILTON,NH,NDIR,0.25,43.47338888888889,71.60588888888888,D,OLDIES 92.9,,NORTHEAST COMMUNICATIONS CORPORATION,Oldies,Concord
92.9,W225CT,PLYMOUTH,NH,DRL,0.04,43.739222222222224,71.79005555555555,D,OLDIES 92.9,,NORTHEAST COMMUNICATIONS CORPORATION,Oldies,Lebanon-Hanover-White River Junction
